time_s,gsr_us
73.663,17.723577
73.915,17.723577
74.167,18.027397
74.419,18.181818
74.672,18.181818
74.924,17.950820
75.176,17.648649
75.428,17.500000
75.680,17.500000
75.933,17.648649
76.185,17.874659
76.437,17.874659
76.689,17.723577
76.942,17.500000
77.194,17.426273
77.446,17.352941
77.699,17.723577
77.951,17.874659
78.203,17.874659
78.456,17.648649
78.708,17.352941
78.960,17.207447
79.213,17.280000
79.465,17.574124
79.717,17.723577
79.969,17.723577
80.222,17.574124
80.474,17.207447
80.727,17.207447
80.979,17.207447
81.231,17.574124
81.483,17.723577
81.736,17.648649
81.988,17.426273
82.241,17.207447
82.493,17.063492
82.745,17.280000
82.997,17.574124
83.250,17.574124
83.502,17.500000
83.754,17.352941
84.006,17.135279
84.259,17.063492
84.511,17.135279
84.764,17.426273
85.016,17.500000
85.268,17.500000
85.520,17.207447
85.773,16.992084
86.025,16.992084
86.277,17.135279
86.529,17.500000
86.781,17.500000
87.034,17.500000
87.286,17.352941
87.538,17.135279
87.791,17.063492
88.043,17.063492
88.295,17.426273
88.548,17.648649
88.800,17.648649
89.052,17.426273
89.305,17.352941
89.557,17.280000
89.809,17.426273
90.061,17.723577
90.313,17.723577
90.566,17.723577
90.818,17.352941
91.070,17.207447
91.322,17.135279
91.574,17.135279
91.826,17.426273
92.079,17.648649
92.331,17.426273
92.583,17.207447
92.835,16.992084
93.088,16.992084
93.340,16.992084
93.593,17.352941
93.845,17.426273
94.097,17.426273
94.350,17.063492
94.602,16.850394
94.854,16.850394
95.107,16.921053
95.359,17.280000
95.611,17.426273
95.864,17.352941
96.116,16.992084
96.368,16.921053
96.621,16.780105
96.873,16.992084
97.125,17.207447
97.377,17.352941
97.629,17.352941
97.882,16.921053
98.134,16.780105
98.386,16.780105
98.639,16.992084
98.891,17.280000
99.143,17.207447
99.395,17.280000
99.648,16.780105
99.900,16.710183
100.153,16.780105
100.405,17.063492
100.657,17.135279
100.910,17.352941
101.162,17.063492
101.414,16.710183
101.667,16.710183
101.919,16.921053
102.171,17.500000
102.424,17.798913
102.676,18.027397
102.928,18.027397
103.180,17.798913
103.432,17.874659
103.684,18.027397
103.936,18.181818
104.189,18.575419
104.441,18.416667
104.693,18.104396
104.946,17.723577
105.198,17.648649
105.450,17.648649
105.703,18.027397
105.955,18.181818
106.207,18.104396
106.459,17.874659
106.711,17.723577
106.964,17.574124
107.216,17.648649
107.468,18.104396
107.721,18.259669
107.974,18.337950
108.226,17.874659
108.478,17.648649
108.731,17.723577
108.983,17.874659
109.235,18.104396
109.488,18.104396
109.740,18.027397
109.992,17.648649
110.244,17.500000
110.496,17.500000
110.748,17.723577
111.001,18.181818
111.253,18.337950
111.505,18.416667
111.757,18.259669
112.009,18.027397
112.262,18.181818
112.514,18.337950
112.767,18.816901
113.019,19.062500
113.271,19.145299
