time_s,gsr_us
300.986,94.387755
301.238,94.387755
301.489,94.387755
301.740,93.333333
301.991,92.300000
302.242,90.294118
302.493,89.320388
302.744,87.428571
302.995,85.607477
303.246,84.722222
303.497,83.853211
303.748,83.853211
303.999,83.853211
304.251,83.853211
304.502,84.722222
304.753,85.607477
305.004,85.607477
305.255,87.428571
305.506,88.365385
305.757,89.320388
306.008,86.509434
306.259,87.428571
306.511,87.428571
306.763,86.509434
307.015,85.607477
307.267,85.607477
307.518,86.509434
307.770,89.320388
308.022,93.333333
308.274,96.562500
308.526,98.829787
308.778,98.829787
309.030,98.829787
309.282,97.684211
309.534,93.333333
309.786,93.333333
310.038,93.333333
310.290,90.294118
310.542,90.294118
310.794,87.428571
311.046,87.428571
311.298,87.428571
311.549,88.365385
311.801,87.428571
312.052,89.320388
312.303,89.320388
312.554,87.428571
312.805,87.428571
313.056,88.365385
313.307,87.428571
313.559,89.320388
313.810,91.287129
314.061,95.463918
314.312,98.829787
314.563,100.000000
314.814,98.829787
315.065,98.829787
315.316,96.562500
315.567,94.387755
315.818,93.333333
316.069,93.333333
316.320,93.333333
316.571,93.333333
316.822,93.333333
317.074,94.387755
317.326,98.829787
317.578,103.666667
317.829,106.250000
318.081,106.250000
318.333,104.943820
318.585,104.943820
318.836,106.250000
319.088,106.250000
319.340,110.352941
319.592,108.953488
319.843,111.785714
320.095,110.352941
320.347,110.352941
320.598,107.586207
320.850,103.666667
321.102,101.195652
321.354,100.000000
321.606,100.000000
321.857,97.684211
322.109,95.463918
322.361,96.562500
322.613,96.562500
322.864,95.463918
323.116,95.463918
323.368,95.463918
323.619,98.829787
323.870,101.195652
324.121,103.666667
324.372,103.666667
324.623,106.250000
324.874,108.953488
325.125,108.953488
325.376,110.352941
325.628,108.953488
325.879,108.953488
326.130,107.586207
326.381,104.943820
326.632,106.250000
326.883,104.943820
327.134,103.666667
327.385,106.250000
327.636,106.250000
327.887,107.586207
328.138,107.586207
328.389,108.953488
328.641,108.953488
328.893,108.953488
329.145,106.250000
329.397,104.943820
329.648,102.417582
329.900,100.000000
330.152,97.684211
330.405,96.562500
330.656,97.684211
330.908,97.684211
331.160,97.684211
331.412,97.684211
331.664,97.684211
331.916,94.387755
332.168,94.387755
332.420,94.387755
332.672,100.000000
332.923,106.250000
333.175,110.352941
333.427,113.253012
333.678,111.785714
333.931,111.785714
334.182,108.953488
334.433,108.953488
334.685,108.953488
334.936,110.352941
335.187,110.352941
335.438,110.352941
335.689,111.785714
335.940,113.253012
336.191,114.756098
336.442,117.875000
336.693,119.493671
336.944,119.493671
337.195,117.875000
337.446,117.875000
337.697,119.493671
337.948,116.296296
338.199,114.756098
338.450,110.352941
338.701,111.785714
338.953,107.586207
339.204,108.953488
339.456,106.250000
339.708,108.953488
339.960,113.253012
340.212,121.153846
340.464,124.605263
340.716,121.153846
340.967,122.857143
341.219,122.857143
341.471,121.153846
341.723,122.857143
341.975,121.153846
342.226,121.153846
342.478,119.493671
342.730,121.153846
342.982,121.153846
343.234,121.153846
343.485,122.857143
343.737,124.605263
343.989,126.400000
344.241,124.605263
344.493,122.857143
344.745,119.493671
344.996,117.875000
345.249,113.253012
345.500,108.953488
345.753,107.586207
346.005,108.953488
346.257,110.352941
346.509,107.586207
346.761,106.250000
347.013,104.943820
347.265,102.417582
347.516,101.195652
347.768,98.829787
348.020,98.829787
348.271,97.684211
348.522,97.684211
348.773,98.829787
349.024,101.195652
349.275,101.195652
349.526,104.943820
349.777,110.352941
350.029,110.352941
350.280,113.253012
350.531,110.352941
350.782,110.352941
351.033,108.953488
351.284,110.352941
351.535,110.352941
351.786,111.785714
352.037,113.253012
352.288,114.756098
352.539,116.296296
352.790,116.296296
353.041,113.253012
353.294,111.785714
353.545,111.785714
353.797,110.352941
354.049,107.586207
354.301,101.195652
354.553,100.000000
354.804,98.829787
355.056,98.829787
355.308,100.000000
355.560,100.000000
355.811,100.000000
356.064,102.417582
356.316,104.943820
356.567,103.666667
356.819,104.943820
357.071,103.666667
357.323,103.666667
357.575,104.943820
357.826,103.666667
358.079,101.195652
358.330,100.000000
358.582,98.829787
358.833,96.562500
359.084,95.463918
359.335,96.562500
359.586,95.463918
359.837,95.463918
360.088,95.463918
360.339,97.684211
360.590,96.562500
360.841,97.684211
361.092,98.829787
361.343,100.000000
361.595,102.417582
361.846,104.943820
362.097,104.943820
362.348,104.943820
362.599,104.943820
362.850,102.417582
363.101,100.000000
363.352,98.829787
363.603,95.463918
363.855,96.562500
364.108,97.684211
364.359,100.000000
364.611,102.417582
364.863,101.195652
365.115,102.417582
365.367,101.195652
365.619,100.000000
365.871,97.684211
366.122,98.829787
366.374,102.417582
366.626,103.666667
366.878,104.943820
367.131,104.943820
367.383,104.943820
367.634,103.666667
367.886,101.195652
368.138,98.829787
368.390,95.463918
368.641,95.463918
368.893,95.463918
369.145,96.562500
369.397,98.829787
369.649,101.195652
369.901,101.195652
370.152,102.417582
370.404,103.666667
370.656,102.417582
370.908,101.195652
371.159,102.417582
371.411,103.666667
371.663,102.417582
371.915,101.195652
372.167,98.829787
372.418,97.684211
372.671,95.463918
372.922,91.287129
373.174,91.287129
373.426,91.287129
373.677,93.333333
373.928,97.684211
374.179,97.684211
374.430,98.829787
374.681,98.829787
374.932,100.000000
375.183,98.829787
375.434,97.684211
375.685,95.463918
375.936,94.387755
376.188,92.300000
376.439,90.294118
376.690,89.320388
376.941,89.320388
377.192,89.320388
377.443,91.287129
377.694,93.333333
377.945,93.333333
378.196,94.387755
378.447,95.463918
378.699,97.684211
378.951,97.684211
379.203,96.562500
379.455,98.829787
379.707,98.829787
379.959,100.000000
380.211,101.195652
380.462,100.000000
380.714,102.417582
380.966,100.000000
381.218,98.829787
381.470,100.000000
381.722,97.684211
381.974,95.463918
382.226,93.333333
382.478,91.287129
382.729,88.365385
382.981,89.320388
383.233,90.294118
383.486,93.333333
383.737,91.287129
383.989,93.333333
384.241,92.300000
384.493,89.320388
384.745,89.320388
384.997,87.428571
385.249,89.320388
385.500,88.365385
385.752,88.365385
386.004,92.300000
386.256,93.333333
386.508,97.684211
386.759,96.562500
387.011,97.684211
387.263,95.463918
387.515,95.463918
387.767,96.562500
388.019,96.562500
388.271,95.463918
388.523,93.333333
388.774,92.300000
389.026,90.294118
389.278,88.365385
389.530,88.365385
389.782,92.300000
390.034,94.387755
390.286,97.684211
390.537,96.562500
390.790,96.562500
391.041,97.684211
391.293,97.684211
391.545,96.562500
391.797,93.333333
392.049,93.333333
392.301,92.300000
392.552,90.294118
392.804,92.300000
393.055,90.294118
393.308,89.320388
393.559,87.428571
393.811,85.607477
394.063,84.722222
394.315,83.853211
394.567,82.162162
394.818,84.722222
395.070,85.607477
395.322,89.320388
395.574,88.365385
395.826,89.320388
396.078,88.365385
396.330,88.365385
396.582,85.607477
396.834,84.722222
397.085,84.722222
397.337,84.722222
397.589,84.722222
397.841,84.722222
398.093,85.607477
398.344,84.722222
398.595,84.722222
398.846,85.607477
399.097,85.607477
399.348,85.607477
399.599,84.722222
399.850,85.607477
400.102,85.607477
400.353,85.607477
400.604,84.722222
400.855,85.607477
401.106,85.607477
401.357,83.853211
401.608,83.000000
401.859,83.000000
402.110,82.162162
402.361,83.000000
402.612,81.339286
402.863,81.339286
403.114,82.162162
403.366,83.000000
403.618,83.853211
403.870,83.000000
404.122,83.000000
404.374,84.722222
404.625,84.722222
404.878,83.853211
405.129,84.722222
405.382,84.722222
405.633,83.853211
405.885,83.000000
406.137,82.162162
406.389,80.530973
406.641,81.339286
406.893,82.162162
407.145,81.339286
407.397,82.162162
407.649,81.339286
407.901,84.722222
408.152,85.607477
408.405,87.428571
408.657,86.509434
408.908,87.428571
409.161,89.320388
409.412,89.320388
409.664,89.320388
409.916,89.320388
410.169,87.428571
410.421,84.722222
410.673,84.722222
410.924,83.853211
411.176,85.607477
411.428,88.365385
411.680,88.365385
411.932,88.365385
412.183,89.320388
412.435,87.428571
412.687,87.428571
412.939,84.722222
413.191,82.162162
413.442,82.162162
413.693,81.339286
413.944,81.339286
414.195,82.162162
414.446,81.339286
414.697,80.530973
414.948,79.736842
415.199,79.736842
415.450,78.956522
415.701,79.736842
415.953,78.189655
416.204,77.435897
416.455,78.956522
416.706,79.736842
416.957,82.162162
417.208,83.853211
417.459,84.722222
417.710,84.722222
417.961,84.722222
418.212,85.607477
418.464,87.428571
418.716,85.607477
418.968,84.722222
419.220,83.853211
419.471,84.722222
419.723,83.000000
419.975,81.339286
420.227,79.736842
420.479,78.956522
420.731,78.956522
420.982,79.736842
421.234,80.530973
421.486,78.956522
421.738,79.736842
421.990,81.339286
422.242,81.339286
422.494,80.530973
422.746,80.530973
422.997,79.736842
423.249,82.162162
423.501,82.162162
423.753,81.339286
424.005,83.853211
424.256,82.162162
424.508,83.000000
424.760,82.162162
425.012,80.530973
425.264,81.339286
425.516,81.339286
425.768,82.162162
426.020,83.853211
426.271,83.853211
426.524,83.853211
426.775,83.853211
427.027,83.853211
427.279,81.339286
427.531,79.736842
427.783,80.530973
428.035,81.339286
428.287,83.853211
428.539,82.162162
428.790,82.162162
429.042,82.162162
429.294,80.530973
429.546,79.736842
429.798,78.189655
430.050,77.435897
430.301,77.435897
430.554,79.736842
430.805,80.530973
431.058,80.530973
431.309,82.162162
431.561,82.162162
431.813,82.162162
432.065,82.162162
432.316,80.530973
432.567,79.736842
